class_name,class_number,doc_path,doc_id,zsl_split,gzsl_split
test_request_form,0,separacao-rvl_cdip/test_request_form/2058003688.tif,2058003688.tif,1,5
test_request_form,0,separacao-rvl_cdip/test_request_form/2058003684_2058003685.tif,2058003684_2058003685.tif,1,5
test_request_form,0,separacao-rvl_cdip/test_request_form/2058003689_2058003690.tif,2058003689_2058003690.tif,1,5
test_request_form,0,separacao-rvl_cdip/test_request_form/2058003922.tif,2058003922.tif,1,5
test_request_form,0,separacao-rvl_cdip/test_request_form/2058003944.tif,2058003944.tif,1,5
test_request_form,0,separacao-rvl_cdip/test_request_form/2058003961.tif,2058003961.tif,1,5
microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87103742.tif,87103742.tif,0,4
microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87103744.tif,87103744.tif,0,4
microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87104266.tif,87104266.tif,0,4
microbiological_associates_invoice,1,separacao-rvl_cdip/microbiological_associates_invoice/87103743.tif,87103743.tif,0,4
screener_2,2,separacao-rvl_cdip/screener_2/2041078996.tif,2041078996.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2041075290_2041075298.tif,2041075290_2041075298.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2041076199_2041076204.tif,2041076199_2041076204.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2041074724.tif,2041074724.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2041074986.tif,2041074986.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2041079398_2041079406.tif,2041079398_2041079406.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2041075660_2041075670.tif,2041075660_2041075670.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2041078986.tif,2041078986.tif,0,3
screener_2,2,separacao-rvl_cdip/screener_2/2040251430.tif,2040251430.tif,0,3
infbio_vorgang,3,separacao-rvl_cdip/infbio_vorgang/2505108335.tif,2505108335.tif,5,0
infbio_vorgang,3,separacao-rvl_cdip/infbio_vorgang/2505100571.tif,2505100571.tif,5,1
infbio_vorgang,3,separacao-rvl_cdip/infbio_vorgang/2505104445.tif,2505104445.tif,5,1
